Period,Interest Due A,Interest Paid A,Interest Shortfall A,Principal Paid A,Balance A,Interest Due B,Interest Paid B,Interest Shortfall B,Principal Paid B,Balance B,Reserve Account
1,94514.58105916665,94514.58105916665,0,309386.66196991905,22374112.792230077,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,279911.9691574361
2,93225.46996762532,93225.46996762532,0,313646.7380594293,22060466.054170646,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,536856.215933607
3,91918.60855904435,91918.60855904435,0,317816.9671956135,21742649.086975034,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,796013.7183840426
4,90594.37119572931,90594.37119572931,0,322056.0713447698,21420593.015630264,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,1052819.0941322674
5,89252.47089845943,89252.47089845943,0,326311.6869178278,21094281.328712437,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,1308010.388608207
6,87892.83886963516,87892.83886963516,0,330307.23547373177,20763974.093238704,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,1570393.5245994113
7,86516.55872182793,86516.55872182793,0,334858.8224245838,20429115.27081412,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,1810833.4595008248
8,85121.31362839216,85121.31362839216,0,339473.9472591924,20089641.32355493,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,2048053.5146610644
9,83706.83884814553,83706.83884814553,0,343224.82932883373,19746416.494226094,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,2319704.2916940167
10,82276.73539260872,82276.73539260872,0,347753.8807337499,19398662.613492344,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,2560076.7744416217
11,80827.76088955143,80827.76088955143,0,352097.3686185137,19046565.24487383,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,2801570.630911829
12,79360.68852030762,79360.68852030762,0,356247.98293838877,18690317.261935443,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,3049210.540524067
13,77876.321924731,77876.321924731,0,360687.2993966652,18329629.96253878,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,3282319.8956724624
14,76373.45817724492,76373.45817724492,0,364631.3962399851,17964998.56629879,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,3533573.9505114006
15,74854.16069291162,74854.16069291162,0,369298.8184993784,17595699.74779941,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,3755055.231794569
16,73315.41561583088,73315.41561583088,0,374164.8964336488,17221534.851365764,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,3971378.3749294896
17,71756.39521402401,71756.39521402401,0,379331.32593670994,16842203.525429055,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,4173699.6056596353
18,70175.84802262107,70175.84802262107,0,383862.38034306193,16458341.145085994,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,4395003.198026908
19,68576.42143785831,68576.42143785831,0,388861.3415562206,16069479.803529773,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,4599849.927635131
20,66956.16584804072,66956.16584804072,0,394235.20798912516,15675244.595540646,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,4790385.69951501
21,65313.51914808602,65313.51914808602,0,398831.8163210834,15276412.779219564,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5002354.5067640105
22,63651.71991341485,63651.71991341485,0,404345.9957707784,14872066.783448786,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5184727.108795637
23,61966.9449310366,61966.9449310366,0,409125.3754839707,14462941.407964814,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5392662.140403981
24,60262.255866520056,60262.255866520056,0,414233.27354301227,14048708.134421803,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5582357.658948884
25,58536.28389342418,58536.28389342418,0,418403.5323471813,13630304.602074621,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5794193.970493724
26,56792.93584197759,56792.93584197759,0,423933.3484306477,13206371.253643973,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5969867.349726626
27,55026.54689018322,55026.54689018322,0,429442.320451884,12776928.93319209,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6140677.823274651
28,53237.20388830037,53237.20388830037,0,435201.5662593573,12341727.366932731,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6303699.284202003
29,51423.86402888638,51423.86402888638,0,440815.6966473637,11900911.670285366,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6467519.7007612875
30,49587.13195952236,49587.13195952236,0,446147.18291362043,11454764.487371746,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6639196.161202803
31,47728.18536404894,47728.18536404894,0,452329.3610578737,11002435.126313873,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6781720.419679406
32,45843.47969297447,45843.47969297447,0,458135.19188291975,10544299.934430953,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6934382.640216993
33,43934.58306012897,43934.58306012897,0,464219.3669084994,10080080.567522453,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,7076866.469315131
34,42000.33569801022,42000.33569801022,0,470155.15205249423,9609925.41546996,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,7220042.660441473
35,40041.355897791494,40041.355897791494,0,476448.68270526244,9133476.732764697,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,7352798.94835722
36,38056.15305318624,38056.15305318624,0,482737.17225903925,8650739.560505658,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,7480350.763902931
37,36044.74816877358,36044.74816877358,0,488770.50847306376,8161969.0520325955,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,7622596.263404361
38,34008.20438346915,34008.20438346915,0,494972.8267795573,7666996.225253038,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,7748669.790466959
39,31945.817605220993,31945.817605220993,0,501531.2311597283,7165464.99409331,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,7861395.028165337
40,29856.104142055457,29856.104142055457,0,507593.52070835076,6657871.47338496,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,7979816.147250453
41,27741.131139103996,27741.131139103996,0,514639.90141802136,6143231.571966939,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8073864.31543912
42,25596.79821652891,25596.79821652891,0,520978.2665691998,5622253.305397738,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8184284.200314836
43,23426.05543915724,23426.05543915724,0,528212.2841486656,5094041.021249071,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8267938.259823402
44,21225.17092187113,21225.17092187113,0,533812.1088631123,4560228.912385959,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8383286.777919353
45,19000.953801608164,19000.953801608164,0,540535.3553826738,4019693.5570032857,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8472705.709867243
46,16748.723154180356,16748.723154180356,0,546440.9116691409,3473252.645334143,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8581187.065589253
47,14471.886022225597,14471.886022225597,0,553810.0367534504,2919442.6085806936,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8648625.704092562
48,12164.344202419557,12164.344202419557,0,561142.7123327261,2358299.896247968,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8716059.348384075
49,9826.249567699866,9826.249567699866,0,568182.2783404412,1790117.6179075278,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8782289.64582428
50,7458.823407948033,7458.823407948033,0,575387.4393496338,1214730.1785578951,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8841656.116668072
51,5061.37574399123,5061.37574399123,0,536077.4078650903,678652.7706928067,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8881109.981381087
52,2827.7198778866946,2827.7198778866946,0,526848.5932102886,151804.1774825193,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8925381.538499765
53,632.5174061771637,632.5174061771637,0,151804.1774825193,0,37805.83242366666,37805.83242366666,0,361636.1116440902,5309238.751905909,8963402.058075681
54,0.0,0,0,0,0,35394.92501270606,35394.92501270606,0,493915.5891707177,4815323.162735191,9015392.774019731
55,0.0,0,0,0,0,32102.15441823461,32102.15441823461,0,467564.4865771354,4347758.676158056,9060753.2995548
56,0.0,0,0,0,0,28985.057841053705,28985.057841053705,0,444918.6672572478,3902840.008900808,9078470.015576527
57,0.0,0,0,0,0,26018.933392672057,26018.933392672057,0,419393.6295237121,3483446.379377096,9122929.954029147
58,0.0,0,0,0,0,23222.975862513973,23222.975862513973,0,382941.6243663296,3100504.7550107664,9141638.393867325
59,0.0,0,0,0,0,20670.031700071777,20670.031700071777,0,347172.42153396335,2753332.3334768033,9158320.267511562
60,0.0,0,0,0,0,18355.548889845355,18355.548889845355,0,315569.1693521154,2437763.1641246877,9164435.894365717
61,0.0,0,0,0,0,16251.75442749792,16251.75442749792,0,274144.5286446921,2163618.6354799955,9199552.8444825
62,0.0,0,0,0,0,14424.124236533304,14424.124236533304,0,230797.92863811093,1932820.7068418846,9242146.072122874
63,0.0,0,0,0,0,12885.471378945898,12885.471378945898,0,193042.7911703053,1739777.9156715795,9294916.730798686
64,0.0,0,0,0,0,11598.519437810532,11598.519437810532,0,169191.00827687304,1570586.9073947063,9328639.772800595
65,0.0,0,0,0,0,10470.579382631377,10470.579382631377,0,136102.46230501833,1434484.4450896876,9347242.40665303
66,0.0,0,0,0,0,9563.22963393125,9563.22963393125,0,114369.7713452369,1320114.6737444503,9370463.723411545
67,0.0,0,0,0,0,8800.764491629669,8800.764491629669,0,95275.02877276737,1224839.6449716827,9388222.445482133
68,0.0,0,0,0,0,8165.597633144552,8165.597633144552,0,75518.65057004092,1149320.9944016421,9399463.960750796
69,0.0,0,0,0,0,7662.139962677615,7662.139962677615,0,55138.23192637312,1094182.762475269,9429053.034824481
70,0.0,0,0,0,0,7294.551749835126,7294.551749835126,0,47864.42335621832,1046318.3391190507,9449759.280487636
71,0.0,0,0,0,0,6975.455594127005,6975.455594127005,0,32355.85902512254,1013962.480093928,9443237.322904259
72,0.0,0,0,0,0,6759.749867292854,6759.749867292854,0,0.0,1013962.480093928,9463088.478549303
